NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Dr. Evelyn Harper,0,X1,HDE2,HDE1,FDE1,HDC2,FDC2,HDC4,FDE4,FDC8,FDC9,FDC10
Prof. Sebastian Whitman,0,X1,FDC5,FDE6,HDE3,FDC3,FDE2,HDC1,FDC1,HDE2,FDC2,HDC2
Dr. Miranda Holloway,0,X1,FDC5,HDE2,HDC4,HDC1,FDE2,FDC4,FDC6,FDC7,HDE4,FDE6
Prof. Alexander Vance,0,X1,HDC2,HDE4,FDC8,HDC1,FDE6,FDC5,HDE2,FDE4,FDC11,FDC6
Dr. Lydia Thornton,0,X1,FDE4,FDC9,FDE2,HDC4,HDE4,FDC8,HDE1,HDC2,FDC6,FDC11
Prof. Harrison Reed,0,X1,FDC5,FDC7,FDE6,HDE2,FDC4,HDE1,HDC3,HDC4,FDC6,FDE5
Dr. Amelia Hayes,0,X1,HDC1,FDC4,FDE1,HDE2,FDC2,HDE3,FDC8,HDC4,FDC10,FDE4
Prof. Maxwell Turner,0,X1,FDC10,HDE3,FDC5,FDC7,FDC2,HDE4,HDC4,FDE1,FDE2,HDC1
Dr. Isabella Morgan,0,X1,FDC5,FDC2,FDC9,HDE1,FDC10,FDE1,HDC3,FDE6,HDC4,HDE4
Prof. Benjamin York,0,X1,FDE4,HDC1,FDC3,HDC2,HDE3,FDC11,HDE2,FDC10,FDC5,FDE6
Dr. Penelope Wallace,0,X1,HDE4,FDE2,HDC1,HDC3,FDC7,FDC8,FDC1,HDE1,FDC9,FDE6
Prof. Gabriel Fleming,0,X1,FDC11,HDC3,HDE4,HDC2,FDC2,FDE4,HDE1,FDC7,FDE5,FDC8
Dr. Victoria Sullivan,0,X1,FDE1,FDC9,HDE1,FDC7,HDC2,FDE5,FDC1,HDE2,FDC6,HDC1
Prof. Oliver Caldwell,0,X1,FDC11,HDE3,FDC2,HDC4,HDC1,FDE5,FDC3,FDE1,HDE4,FDC5
Dr. Cassandra Ross,0,X1,HDC3,FDC3,FDC2,FDE2,HDE4,HDC2,FDE4,FDC1,FDC6,HDE1
Prof. Nolan Hartman,0,X1,HDE2,HDE3,FDC11,FDC10,HDC2,HDC1,FDC9,FDE4,FDC8,FDE3
Dr. Lillian Chambers,0,X1,FDE6,FDC1,HDE4,HDC2,HDC4,HDE1,FDC10,FDE5,FDC5,FDC3
Prof. Desmond Blackwell,0,X1,FDC10,HDC3,HDE1,FDC6,FDC1,HDE2,FDE1,FDC7,FDE4,HDC4
Dr. Genevieve Russo,0,X1,FDC10,HDE4,HDC4,HDE3,FDE4,FDE5,FDC11,FDC1,FDC5,HDC1
Prof. Lawrence Donovan,0,X1,FDC10,FDE2,FDE6,FDC1,HDE1,HDC4,HDC1,FDC8,FDC6,HDE3
Dr. Sylvia Manning,0,X2,HDC4,FDC4,FDC5,FDE4,FDE6,HDE3,HDC2,FDC9,FDC2,HDE2
Prof. Atticus Reynolds,0,X2,FDE1,FDC3,HDC3,HDE3,FDC7,HDC2,FDC6,HDE4,FDE2,FDC10
Dr. Eliza Thornton,0,X2,HDE2,HDE3,FDE2,FDC8,FDE6,HDC1,HDC4,FDC5,FDC9,FDC4
Prof. Malcolm Archer,0,X2,HDC4,FDE6,HDE4,HDC1,FDC8,FDC1,FDC2,HDE2,FDC4,FDE5
Dr. Celeste Bennett,0,X2,FDC7,FDC3,FDC11,FDC2,HDC2,FDE1,HDE3,FDE6,HDE2,HDC3
Prof. Harrison Wells,0,X2,FDC3,FDE5,FDC6,FDC4,HDE1,FDC11,HDE4,HDC2,HDC4,FDE2
Dr. Eleanor Griffin,0,X2,HDE3,FDC4,FDC1,FDE2,FDE5,HDC3,HDC2,FDC5,HDE1,FDC10
Prof. Matthias Harper,0,X2,HDE2,FDE5,HDE1,FDC6,HDC3,HDC4,FDE4,FDC8,FDC7,FDC4
Dr. Penelope Blake,0,X2,FDC2,FDC8,HDC2,FDC4,HDC3,HDE2,HDE3,FDC3,FDE5,FDE4
Prof. Xavier Montgomery,0,X2,FDC3,FDC8,HDE3,FDE6,FDE1,FDC9,HDC1,HDC2,FDC5,HDE4
Dr. Abigail Foster,0,X2,HDC3,FDC2,FDC11,FDE4,HDE2,HDC4,FDC6,FDC1,FDE6,HDE4
Prof. Quentin Mitchell,0,X2,HDC2,FDC10,HDE2,FDE3,FDC7,FDE4,FDC11,FDC2,HDC1,HDE1
Dr. Vivian Caldwell,0,X2,FDC4,HDC3,HDE1,HDC4,FDE6,HDE2,FDE5,FDC9,FDC10,FDC2
