NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDC1,HDE2,HDC1,FDE3,HDC3,FDC2,HDE4,FDC9,FDC7,FDE5
Bella,0,X1,FDC9,FDE5,HDE4,HDC3,HDC1,HDE2,FDE3,FDC4,FDC3,FDC8
Caleb,0,X1,FDC11,HDE2,FDC10,HDC4,FDE2,HDE4,HDC1,FDE5,FDC5,FDC4
Delilah,0,X1,HDE2,FDC9,FDC3,FDE4,HDC1,FDC6,HDC4,FDC10,FDE3,HDE1
Ethan,0,X1,HDC2,FDE1,HDE1,HDC1,HDE4,FDC9,FDC7,FDC1,FDE2,FDC6
Fiona,0,X1,FDE3,FDC7,HDC3,FDC6,FDC11,HDE2,HDE4,HDC2,FDC8,FDE1
Gabriel,0,X1,FDC4,FDC1,HDC4,HDE4,HDC3,FDE3,HDE2,FDC6,FDE4,FDC11
Hannah,0,X1,FDE4,HDE3,HDC2,FDC11,FDC8,FDC3,HDE2,HDC1,FDC1,FDE2
Isaac,0,X1,FDC1,HDC2,FDE1,FDE3,FDC8,FDC10,HDC4,HDE3,FDC5,HDE4
Jasmine,0,X1,HDE3,HDC4,FDC6,HDC3,FDE2,FDC8,FDE6,FDC7,HDE1,FDC10
Kaden,0,X2,FDC2,FDE5,HDE1,FDC8,HDC2,HDE4,FDC1,FDE3,FDC6,HDC3
Lily,0,X2,FDE6,HDC2,HDE2,HDE3,HDC1,FDC9,FDC3,FDE4,FDC5,FDC10
Mason,0,X2,HDC3,HDE1,FDC8,FDE5,FDC3,HDE4,FDC2,FDC4,HDC2,FDE2
Nora,0,X2,FDC10,HDE3,HDC2,FDC11,FDC9,FDE2,FDE5,FDC5,HDC4,HDE1
Oliver,0,X2,HDE2,FDE6,HDE1,FDE3,HDC3,FDC6,FDC3,FDC1,HDC2,FDC7
Penelope,0,X2,FDC2,FDE4,HDE1,FDC3,FDC11,FDC4,HDE4,HDC4,FDE1,HDC2
Quentin,0,X2,HDE1,FDE2,FDC4,FDC7,FDE1,FDC3,HDC4,FDC5,HDE4,HDC2
Rose,0,X2,HDC2,FDE5,FDC8,FDE6,FDC1,HDE3,HDE1,HDC3,FDC6,FDC2
Sebastian,0,X3,HDE2,HDC3,HDC1,FDC11,FDE2,FDC9,FDE5,FDC6,HDE3,FDC3
Tessa,0,X3,FDC6,FDC10,FDE2,HDC2,HDE3,HDE1,HDC1,FDE4,FDC5,FDC7
Uriel,0,X3,FDC2,FDC10,HDE2,HDE1,FDE1,HDC4,FDC8,FDE5,HDC3,FDC1
Violet,0,X3,HDC1,FDE4,FDC8,FDE6,HDC4,FDC2,FDC6,FDC10,HDE4,HDE1
William,0,X3,HDC2,FDE3,FDC4,FDE5,FDC6,HDE4,HDE3,FDC10,FDC8,HDC4
Xena,0,X3,FDC11,HDC1,FDC9,FDC6,FDE1,HDE3,HDE1,HDC4,FDE2,FDC4
Yosef,0,X3,FDC9,FDC5,HDC2,HDE1,FDE4,HDE3,HDC1,FDE1,FDC7,FDC4
Daniel,0,X3,FDE5,FDC11,HDC1,HDE2,FDC9,FDE6,HDE4,HDC2,FDC4,FDC2
Donald,0,X3,FDC2,HDC4,HDE3,FDC3,HDE4,HDC2,FDE5,FDC11,FDC6,FDE6
Zuri,0,X3,HDE1,FDC4,HDC1,FDC11,HDE3,FDC9,FDC8,HDC4,FDE6,FDE2
Mohar,0,X3,HDC2,FDE2,FDC5,FDC11,FDE3,HDE4,HDC1,FDC6,FDC9,HDE3
Abdul,0,X3,HDC2,FDE2,FDC5,FDC11,FDE3,HDE4,HDC1,FDC6,FDC9,HDE3
