NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Dr. Evelyn Harper,0,X2,HDE2,HDE1,FDE1,HDC2,FDC2,HDC4,FDE4,FDC8,FDC9,FDC10
Prof. Sebastian Whitman,0,X2,FDC5,FDE6,HDE3,FDC3,FDE2,HDC1,FDC1,HDE2,FDC2,HDC2
Dr. Miranda Holloway,0,X2,FDC5,HDE2,HDC4,HDC1,FDE2,FDC4,FDC6,FDC7,HDE4,FDE6
Prof. Alexander Vance,0,X2,HDC2,HDE4,FDC8,HDC1,FDE6,FDC5,HDE2,FDE4,FDC11,FDC6
Dr. Lydia Thornton,0,X2,FDE4,FDC9,FDE2,HDC4,HDE4,FDC8,HDE1,HDC2,FDC6,FDC11
Prof. Harrison Reed,0,X2,FDC5,FDC7,FDE6,HDE2,FDC4,HDE1,HDC3,HDC4,FDC6,FDE5
Dr. Amelia Hayes,0,X2,HDC1,FDC4,FDE1,HDE2,FDC2,HDE3,FDC8,HDC4,FDC10,FDE4
Prof. Maxwell Turner,0,X2,FDC10,HDE3,FDC5,FDC7,FDC2,HDE4,HDC4,FDE1,FDE2,HDC1
Dr. Isabella Morgan,0,X2,FDC5,FDC2,FDC9,HDE1,FDC10,FDE1,HDC3,FDE6,HDC4,HDE4
Prof. Benjamin York,0,X2,FDE4,HDC1,FDC3,HDC2,HDE3,FDC11,HDE2,FDC10,FDC5,FDE6
Dr. Penelope Wallace,0,X2,HDE4,FDE2,HDC1,HDC3,FDC7,FDC8,FDC1,HDE1,FDC9,FDE6
Prof. Gabriel Fleming,0,X2,FDC11,HDC3,HDE4,HDC2,FDC2,FDE4,HDE1,FDC7,FDE5,FDC8
Dr. Victoria Sullivan,0,X2,FDE1,FDC9,HDE1,FDC7,HDC2,FDE5,FDC1,HDE2,FDC6,HDC1
Prof. Oliver Caldwell,0,X2,FDC11,HDE3,FDC2,HDC4,HDC1,FDE5,FDC3,FDE1,HDE4,FDC5
Dr. Cassandra Ross,0,X2,HDC3,FDC3,FDC2,FDE2,HDE4,HDC2,FDE4,FDC1,FDC6,HDE1
